prediction,actual,error,mse
5.0,5.0,(0.0, 0.0)
4.527733610264229,3.0,(1.527733610264229, 2.333969983930975)
4.028901219022473,5.0,(0.9710987809775267, 0.9430328424160384)
1.6557728485549703,4.0,(2.34422715144503, 5.49540093757208)
3.9461035379821063,5.0,(1.0538964620178937, 1.1106977526538335)
5.0,5.0,(0.0, 0.0)
4.9193061645325225,2.0,(2.9193061645325225, 8.522348482277588)
4.45300862342965,4.0,(0.45300862342964976, 0.20521681290162622)
3.627217828958188,2.0,(1.6272178289581878, 2.647837862879398)
2.1689799541351498,5.0,(2.8310200458648502, 8.014674500088619)
4.303732856742062,5.0,(0.6962671432579377, 0.48478793478056953)
4.0790536084077536,4.0,(0.07905360840775355, 0.006249473002286443)
3.7688458497673714,3.0,(0.7688458497673714, 0.5911239407045114)
4.116260451947207,3.0,(1.1162604519472072, 1.2460373965813833)
2.611889426947392,2.0,(0.6118894269473918, 0.3744086708100075)
4.111242387143218,1.0,(3.1112423871432178, 9.679829191556628)
3.434138280428379,5.0,(1.565861719571621, 2.4519229248197933)
3.9999999999999996,4.0,(4.440892098500626e-16, 1.9721522630525295e-31)
4.36910421883323,3.0,(1.3691042188332299, 1.8744463620269485)
4.070450496748138,5.0,(0.9295495032518621, 0.8640622789957837)
5.0,4.0,(1.0, 1.0)
5.0,4.0,(1.0, 1.0)
4.66237542920125,4.0,(0.6623754292012496, 0.43874120920953963)
3.66396535688871,5.0,(1.3360346431112902, 1.7849885675935124)
3.9879424467697566,4.0,(0.012057553230243379, 0.00014538458990015255)
3.0,4.0,(1.0, 1.0)
4.175060950609305,5.0,(0.8249390493906947, 0.6805244352096231)
4.414504328256836,5.0,(0.5854956717431641, 0.342805181629979)
5.0,5.0,(0.0, 0.0)
4.902411884130479,3.0,(1.902411884130479, 3.619170976880879)
3.758899694315282,5.0,(1.2411003056847179, 1.5403299687707002)
1.4977529379957328,4.0,(2.502247062004267, 6.261240359308987)
3.7441212866623594,5.0,(1.2558787133376406, 1.5772313426146076)
3.0655500239789033,4.0,(0.9344499760210967, 0.8731967576858282)
1,4.0,(3.0, 9.0)
5.0,4.0,(1.0, 1.0)
3.231458024421021,4.0,(0.7685419755789789, 0.5906567682268398)
4.975229486582595,5.0,(0.02477051341740477, 0.0006135783349618298)
4.0,5.0,(1.0, 1.0)
4.163088364802732,4.0,(0.16308836480273214, 0.02659781473402904)
1,3.0,(2.0, 4.0)
3.9447757114512267,2.0,(1.9447757114512267, 3.782152567850625)
3.989753037267255,5.0,(1.010246962732745, 1.0205989257107364)
1.0,5.0,(4.0, 16.0)
4.933689630980474,3.0,(1.9336896309804743, 3.739155588961403)
4.387689206345205,5.0,(0.6123107936547951, 0.3749245080261651)
4.728626161213315,3.0,(1.728626161213315, 2.9881484052310814)
4.2910278030713975,4.0,(0.29102780307139753, 0.08469718216056414)
3.401194847512954,3.0,(0.40119484751295387, 0.1609573056709423)
1.3509555016560628,5.0,(3.649044498343937, 13.315525750894157)
3.534012124866688,5.0,(1.4659878751333122, 2.1491204500378838)
1,5.0,(4.0, 16.0)
4.223460899260245,5.0,(0.7765391007397549, 0.6030129749777071)
3.692774758001068,4.0,(0.30722524199893186, 0.09438734932130224)
3.203379183129804,5.0,(1.7966208168701958, 3.2278463596113296)
1.459751134109589,1.0,(0.459751134109589, 0.2113711053150533)
1.730053629274793,3.0,(1.269946370725207, 1.6127637845181249)
2.520446872454816,3.0,(0.47955312754518387, 0.2299712021383674)
4.906019852945095,5.0,(0.09398014705490532, 0.008832268040461628)
5.0,5.0,(0.0, 0.0)
4.185881239384741,5.0,(0.8141187606152593, 0.6627893563857259)
2.9379281953210508,4.0,(1.0620718046789492, 1.1279965182940002)
4.845063565128273,4.0,(0.8450635651282727, 0.7141324291073065)
3.1062377849029814,4.0,(0.8937622150970186, 0.7988108971351293)
4.959053550371246,5.0,(0.04094644962875371, 0.001676611737200065)
4.904026104535774,5.0,(0.09597389546422619, 0.009210988610578216)
3.790727474150618,3.0,(0.7907274741506178, 0.625249938376616)
3.7670930177910145,4.0,(0.23290698220898554, 0.05424566236169671)
3.2590063824382525,5.0,(1.7409936175617475, 3.0310587763907404)
3.5190709497616655,2.0,(1.5190709497616655, 2.3075765504098085)
5.0,4.0,(1.0, 1.0)
4.415987203436565,4.0,(0.4159872034365648, 0.17304535342297395)
1.4373170604065428,1.0,(0.43731706040654283, 0.19124621132261985)
4.947695747111407,4.0,(0.9476957471114069, 0.8981272290930478)
1,2.0,(1.0, 1.0)
4.864729000652613,5.0,(0.1352709993473873, 0.018298243264440853)
3.863416490365718,3.0,(0.8634164903657182, 0.7454880358354544)
1,3.0,(2.0, 4.0)
5.0,5.0,(0.0, 0.0)
5.0,5.0,(0.0, 0.0)
3.6185930158405353,3.0,(0.6185930158405353, 0.3826573192466887)
3.087653240689908,2.0,(1.087653240689908, 1.1829895719832588)
4.587550386133603,2.0,(2.5875503861336027, 6.695417000780156)
2.424079939380097,5.0,(2.575920060619903, 6.635364158704044)
2.9059478107675547,2.0,(0.9059478107675547, 0.8207414358345251)
3.6145710608261936,4.0,(0.3854289391738064, 0.14855546715264575)
5.0,4.0,(1.0, 1.0)
4.676797267222933,5.0,(0.3232027327770668, 0.10446000647456405)
4.4271635779550635,2.0,(2.4271635779550635, 5.891123034151626)
3.7006922552496753,4.0,(0.29930774475032473, 0.08958512606752554)
4.02900645817121,3.0,(1.0290064581712102, 1.0588542909580585)
3.5430592800113727,1.0,(2.5430592800113727, 6.467150501651961)
2.8859772923497555,3.0,(0.11402270765024447, 0.01300117785989312)
1,1.0,(0.0, 0.0)
1.8941178883665115,5.0,(3.1058821116334885, 9.646503691364897)
4.864774362777993,4.0,(0.8647743627779931, 0.747834698518084)
5.0,2.0,(3.0, 9.0)
1,5.0,(4.0, 16.0)
5.0,5.0,(0.0, 0.0)
3.1051835697839025,5.0,(1.8948164302160975, 3.590329304216875)
5.0,5.0,(0.0, 0.0)
4.0,3.0,(1.0, 1.0)
1.0,1.0,(0.0, 0.0)
5.0,5.0,(0.0, 0.0)
5.0,4.0,(1.0, 1.0)
4.804487554507993,4.0,(0.8044875545079933, 0.6472002253582514)
5.0,5.0,(0.0, 0.0)
5.0,5.0,(0.0, 0.0)
5.0,5.0,(0.0, 0.0)
5.0,5.0,(0.0, 0.0)
5.0,5.0,(0.0, 0.0)
4.162982093016447,5.0,(0.8370179069835526, 0.7005989766111271)
4.94805415308055,5.0,(0.051945846919450034, 0.0026983710121789364)
1,1.0,(0.0, 0.0)
3.5044396559486546,5.0,(1.4955603440513454, 2.2367007426989787)
4.092650606354747,5.0,(0.9073493936452532, 0.8232829221484087)
3.8400634159758322,1.0,(2.8400634159758322, 8.065960206764313)
4.828619289067248,4.0,(0.8286192890672481, 0.6866099262143117)
3.8519502073553884,4.0,(0.1480497926446116, 0.02191874110211249)
1.0,1.0,(0.0, 0.0)
1.4874022716160646,1.0,(0.48740227161606464, 0.23756097437650006)
3.301126470756574,3.0,(0.30112647075657417, 0.09067715139030992)
4.14910439416923,3.0,(1.14910439416923, 1.3204409086990332)
3.4940086398032313,1.0,(2.4940086398032313, 6.220079095413164)
4.518784875925127,5.0,(0.48121512407487277, 0.2315679956383952)
1.0,5.0,(4.0, 16.0)
3.5198013976484277,3.0,(0.5198013976484277, 0.27019349299725887)
2.5121845126565496,5.0,(2.4878154873434504, 6.18922589906593)
3.7525065088485112,3.0,(0.7525065088485112, 0.5662660458593745)
5.0,2.0,(3.0, 9.0)
3.6640954708551403,5.0,(1.3359045291448597, 1.7846409109897492)
4.162473103795395,4.0,(0.1624731037953948, 0.026397509456909135)
5.0,5.0,(0.0, 0.0)
2.915447757562629,1.0,(1.915447757562629, 3.668940111951704)
4.0,3.0,(1.0, 1.0)
3.868660282486541,5.0,(1.131339717513459, 1.2799295564234332)
4.908360753213371,4.0,(0.9083607532133708, 0.8251192579783624)
1.0,5.0,(4.0, 16.0)
1.0,4.0,(3.0, 9.0)
4.0,3.0,(1.0, 1.0)
3.945199096059335,5.0,(1.0548009039406652, 1.1126049469540444)
3.7174827484487825,5.0,(1.2825172515512175, 1.644850500526489)
3.227872430506156,4.0,(0.7721275694938439, 0.5961809835724707)
2.5332305539739677,5.0,(2.4667694460260323, 6.084951499847579)
2.1044317586170598,4.0,(1.8955682413829402, 3.593178957739613)
5.0,5.0,(0.0, 0.0)
2.0,4.0,(2.0, 4.0)
4.927944379005254,5.0,(0.07205562099474605, 0.005192012516938488)
5.0,5.0,(0.0, 0.0)
4.133647565052463,5.0,(0.8663524349475367, 0.7505665415395257)
2.0,5.0,(3.0, 9.0)
3.316672995604097,5.0,(1.683327004395903, 2.8335898037284846)
4.6623175493259925,5.0,(0.3376824506740075, 0.1140294374932035)
4.566456689545997,5.0,(0.4335433104540032, 0.18795980203941617)
5.0,5.0,(0.0, 0.0)
4.1276081114402565,4.0,(0.12760811144025652, 0.016283830105348927)
5.0,5.0,(0.0, 0.0)
3.2249322215574305,5.0,(1.7750677784425695, 3.1508656180650387)
3.141499390166154,5.0,(1.858500609833846, 3.454024516752777)
3.8102476843409545,5.0,(1.1897523156590455, 1.415510572616061)
4.5574989815044145,4.0,(0.5574989815044145, 0.3108051143784595)
5.0,5.0,(0.0, 0.0)
5.0,5.0,(0.0, 0.0)
5.0,5.0,(0.0, 0.0)
3.3536377592287483,4.0,(0.6463622407712517, 0.41778414629483357)
2.6115598450519815,4.0,(1.3884401549480185, 1.9277660638720777)
4.689122729924664,5.0,(0.31087727007533594, 0.09664467704949337)
4.0,5.0,(1.0, 1.0)
3.186119278979027,4.0,(0.8138807210209729, 0.6624018280496187)
4.7753600053535745,1.0,(3.7753600053535745, 14.253343170023342)
1,4.0,(3.0, 9.0)
3.9384260457996936,5.0,(1.0615739542003064, 1.1269392602364743)
3.0,3.0,(0.0, 0.0)
2.7009196803853595,1.0,(1.7009196803853595, 2.8931277591222333)
4.899413389881628,4.0,(0.8994133898816283, 0.808944445898362)
5.0,1.0,(4.0, 16.0)
2.2978076634552553,4.0,(1.7021923365447447, 2.897458750591657)
3.9999999999999996,4.0,(4.440892098500626e-16, 1.9721522630525295e-31)
5.0,5.0,(0.0, 0.0)
3.673944221623355,1.0,(2.673944221623355, 7.149977700352929)
4.46706705996858,5.0,(0.5329329400314204, 0.2840175185705336)
4.717978160739411,5.0,(0.2820218392605893, 0.07953631781992568)
3.050710036664948,4.0,(0.949289963335052, 0.9011514344886644)
5.0,5.0,(0.0, 0.0)
3.523273954812937,2.0,(1.5232739548129368, 2.320363541411445)
2.962504388968135,5.0,(2.037495611031865, 4.151388364974113)
4.725805809095302,5.0,(0.2741941909046979, 0.0751824543258819)
5.0,5.0,(0.0, 0.0)
4.050218104940358,4.0,(0.05021810494035783, 0.002521858063800792)
1,2.0,(1.0, 1.0)
3.8583430086438746,5.0,(1.1416569913561254, 1.3033806859123203)
2.997228655733295,5.0,(2.002771344266705, 4.011093057415865)
3.818864980609875,5.0,(1.1811350193901249, 1.3950799340297106)
1.0,5.0,(4.0, 16.0)
4.606013407347456,2.0,(2.606013407347456, 6.791305879274698)
2.0,5.0,(3.0, 9.0)
1,5.0,(4.0, 16.0)
4.238077251683032,5.0,(0.7619227483169677, 0.5805262744028813)
5.0,5.0,(0.0, 0.0)
5.0,5.0,(0.0, 0.0)
4.0,3.0,(1.0, 1.0)
3.284962192090414,4.0,(0.715037807909586, 0.5112790667401461)
3.5549059682146678,3.0,(0.5549059682146678, 0.30792063356025784)
3.2430733743480644,5.0,(1.7569266256519356, 3.0867911679246967)
3.6788280947810463,3.0,(0.6788280947810463, 0.4608075822640652)
1.0713653105746523,2.0,(0.9286346894253477, 0.8623623864041119)
4.45013881140852,2.0,(2.45013881140852, 6.003180195170354)
5.0,5.0,(0.0, 0.0)
2.440188991893222,4.0,(1.5598110081067782, 2.4330103810110835)
4.68200088129846,5.0,(0.31799911870153963, 0.10112343949495589)
3.1063957829382476,2.0,(1.1063957829382476, 1.2241116285035378)
3.3055485520850336,5.0,(1.6944514479149664, 2.871165709341126)
2.229796848181711,1.0,(1.229796848181711, 1.5124002877976703)
4.664379031302955,5.0,(0.33562096869704483, 0.11264143462914275)
5.0,5.0,(0.0, 0.0)
3.6856189720112758,4.0,(0.31438102798872425, 0.09883543075924701)
4.001009013375095,5.0,(0.9989909866249054, 0.9979829913578019)
2.248136319067812,3.0,(0.7518636809321881, 0.5652989947048992)
4.9296000001510105,5.0,(0.07039999984898948, 0.004956159978737719)
5.0,3.0,(2.0, 4.0)
4.3645484716888365,2.0,(2.3645484716888365, 5.5910894749660125)
3.2500768910020392,4.0,(0.7499231089979608, 0.5623846694091673)
4.428032178477915,5.0,(0.5719678215220849, 0.32714718885671956)
3.3333326874556106,5.0,(1.6666673125443894, 2.7777799307039373)
3.591902023286729,5.0,(1.4080979767132709, 1.982739912024007)
3.621491246482156,5.0,(1.3785087535178442, 1.9002863835253205)
4.374428960322649,5.0,(0.6255710396773511, 0.39133912568300194)
5.0,2.0,(3.0, 9.0)
5.0,5.0,(0.0, 0.0)
